2018
664,163,77,99,103,55,265,256,
124,519,152,159,161,101,658,710,
66,206,102,87,58,129,611,18,
56,121,55,156,32,73,114,501,
41,128,41,22,70,121,64,187,
20,97,98,41,76,96,70,11,
172,561,568,88,64,180,182,28,
78,215,17,197,41,13,33,93
,,,,,,,,,,,,,,,,,,,,,,,
Total:,,1221,2010,1110,849,605,768,1997,1804,,10364,,,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,
,,From,,,,,,,,,,,,,,,,,,,,,
,,31041,31042,31043,31044,31045,31046,31047,31048,,,,,,,,,,,,,,
To,31041,670,111,135,67,81,79,322,197,,Prince St & Union St,31041,,0.5903,0.0729,0.1303,0.1165,0.1537,0.1525,0.1689,0.2123,,1.5974
,31042,100,347,140,88,126,72,606,267,,Market Square / King St & Royal St,31042,,0.0881,0.2280,0.1351,0.1530,0.2391,0.1390,0.3178,0.2877,,1.5879
,31043,72,192,42,63,32,64,416,21,,Saint Asaph St & Pendleton  St,31043,,0.0634,0.1261,0.0405,0.1096,0.0607,0.1236,0.2181,0.0226,,0.7647
,31044,52,102,78,108,18,39,134,184,,King St & Patrick St,31044,,0.0458,0.0670,0.0753,0.1878,0.0342,0.0753,0.0703,0.1983,,0.7539
,31045,20,109,28,33,54,35,245,87,,Commerce St & Fayette St,31045,,0.0176,0.0716,0.0270,0.0574,0.1025,0.0676,0.1285,0.0938,,0.5659
,31046,20,56,77,38,24,51,26,64,,Henry St & Pendleton St,31046,,0.0176,0.0368,0.0743,0.0661,0.0455,0.0985,0.0136,0.0690,,0.4214
,31047,160,492,525,91,147,86,93,29,,Braddock Rd Metro,31047,,0.1410,0.3233,0.5068,0.1583,0.2789,0.1660,0.0488,0.0313,,1.6542
,31048,41,113,11,87,45,92,65,79,,King St Metro South,31048,,0.0361,0.0742,0.0106,0.1513,0.0854,0.1776,0.0341,0.0851,,0.6545
,,,,,,,,,,,,,,,,,,,,,,,
Total:,,1135,1522,1036,575,527,518,1907,928,,8148,,,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,
,,From,,,,,,,,,,,,,,,,,,,,,
,,31041,31042,31043,31044,31045,31046,31047,31048,,,,,,,,,,,,,,
To,31041,1215,120,40,57,54,52,92,90,,Prince St & Union St,31041,,0.7983,0.1043,0.0692,0.1579,0.1452,0.1699,0.1146,0.1775,,1.7369
,31042,112,518,64,46,101,48,157,165,,Market Square / King St & Royal St,31042,,0.0736,0.4504,0.1107,0.1274,0.2715,0.1569,0.1955,0.3254,,1.7115
,31043,63,74,117,27,11,34,171,9,,Saint Asaph St & Pendleton  St,31043,,0.0414,0.0643,0.2024,0.0748,0.0296,0.1111,0.2130,0.0178,,0.7543
,31044,21,66,44,145,20,21,38,106,,King St & Patrick St,31044,,0.0138,0.0574,0.0761,0.4017,0.0538,0.0686,0.0473,0.2091,,0.9278
,31045,31,62,104,10,142,25,33,31,,Commerce St & Fayette St,31045,,0.0204,0.0539,0.1799,0.0277,0.3817,0.0817,0.0411,0.0611,,0.8476
,31046,21,43,15,13,9,96,19,6,,Henry St & Pendleton St,31046,,0.0138,0.0374,0.0260,0.0360,0.0242,0.3137,0.0237,0.0118,,0.4866
,31047,31,156,187,26,23,22,270,5,,Braddock Rd Metro,31047,,0.0204,0.1357,0.3235,0.0720,0.0618,0.0719,0.3362,0.0099,,1.0314
,31048,28,111,7,37,12,8,23,95,,King St Metro South,31048,,0.0184,0.0965,0.0121,0.1025,0.0323,0.0261,0.0286,0.1874,,0.5039
,,,,,,,,,,,,,,,,,,,,,,,
Total:,,1522,1150,578,361,372,306,803,507,,5599,,,1,1,1,1,1,1,1,1,,
