Start Name,Start Num
Eads St & 15th St S,31000
18th St & S Eads St,31001
18th & Eads St.,31001
Crystal Dr & 20th St S,31002
Crystal Dr & 15th St S,31003
Aurora Hills Community Ctr/18th & Hayes St,31004
Aurora Hills Cmty Ctr / 18th St & S Hayes St,31004
Pentagon City Metro / 12th St & S Hayes St,31005
Pentagon City Metro / 12th & S Hayes St,31005
S Joyce & Army Navy Dr,31006
Army Navy Dr & S Joyce St,31006
Crystal City Metro / 18th St & S Bell St,31007
Crystal City Metro / 18th & Bell St,31007
12th & Army Navy Dr,31008
Crystal Dr & 27th St S,31009
S Glebe & Potomac Ave,31010
S Glebe Rd & Potomac Ave,31010
Crystal Dr & 23rd St S,31011
Clark St & 26th St S,31012
26th & S Clark St,31012
Eads St & 22nd St S,31013
Eads & 22nd St S,31013
Lynn & 19th St North,31014
Lynn St & 19th St North,31014
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015
Clarendon Blvd & Pierce St,31016
Wilson Blvd & N Uhle St,31017
N Rhodes & 16th St N,31018
Rhodes St & 16th St N,31018
Wilson Blvd & N Edgewood St,31019
Wilson Blvd & Franklin Rd,31020
Wilson Blvd & N Franklin Rd,31020
Clarendon Blvd & N Fillmore St,31021
Clarendon Metro / Wilson Blvd & N Highland St,31022
Fairfax Dr & Wilson Blvd,31023
Virginia Square Metro / Monroe St & 9th St N,31024
Virginia Square Metro / N Monroe St & 9th St N,31024
Central Library / Quincy St & 10th St N,31025
Central Library / N Quincy St & 10th St N,31025
Washington Blvd & 10th St N,31026
Key Blvd & N Quinn St,31027
N Veitch & Key Blvd,31028
N Veitch St & Key Blvd,31028
N Veitch  & 20th St N,31029
N Veitch St & 20th St N,31029
Lee Hwy & N Adams St,31030
15th & N Scott St,31031
15th St & N Scott St,31031
Washington Blvd & 7th St N,31032
Barcroft Community Center,31033
N Randolph St & Fairfax Dr,31034
Fairfax Dr & N Randolph St,31034
N Quincy St & Glebe Rd,31035
George Mason Dr & Wilson Blvd,31036
Ballston Metro / N Stuart & 9th St N,31037
Ballston Metro / Stuart St & 9th St N,31037
Glebe Rd & 11th St N,31038
Wilson Blvd & N Quincy St,31039
GMU / Fairfax Dr & Kenmore St,31040
Prince St & Union St,31041
Market Square / King St & Royal St,31042
Saint Asaph St & Pendleton  St,31043
King St & Patrick St,31044
Commerce St & Fayette St,31045
Henry St & Pendleton St,31046
Braddock Rd Metro,31047
King St Metro South,31048
Utah St & 11th St N ,31049
Barton St & 10th St N,31050
Arlington Blvd & N Queen St,31051
Potomac Ave & 35th St S,31052
Columbia Pike & S Courthouse Rd,31053
Walter Reed Community Center / Walter Reed Dr & 16th St S,31054
Walter Reed Dr & 16th St S,31054
28th St & S Meade St,31055
28th St S & S Meade St,31055
S Troy St & 26th St S,31056
Troy St & 26th St S,31056
Four Mile Run Dr & S Shirlington Rd,31057
S Four Mile Run Dr & S Shirlington Rd,31057
Columbia Pike & S Oakland St,31058
S Oakland St & Columbia Pike,31058
Four Mile Run Dr & S Walter Reed Dr,31059
S Four Mile Run & Walter Reed Dr,31059
S Arlington Mill Dr & Campbell Ave,31060
Kenmore St & 24th St S,31061
S Kenmore & 24th St S,31061
Roosevelt Island,31062
S George Mason Dr & Four Mile Run,31063
S George Mason & Four Mile Run Dr,31063
Gravelly Point,31064
Pershing Dr & Wayne St,31065
N Pershing Dr & Wayne St,31065
Columbia Pike & S Orme St,31066
Columbia Pike & S Walter Reed Dr,31067
Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,31068
Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068
Pershing & N George Mason Dr,31069
Pershing Dr & N George Mason Dr,31069
Arlington Blvd & Fillmore St,31070
Eads St & 12th St S,31071
31st & Woodrow St S,31072
31st St & S Woodrow St,31072
Washington Blvd & Walter Reed Dr ,31073
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074
Rolfe St & 9th St S,31075
Shirlington Transit Center / S Quincy & Randolph St,31076
Shirlington Transit Center / Quincy St & Randolph St,31076
Iwo Jima Memorial / Meade & 14th St N,31077
Iwo Jima Memorial/N Meade & 14th St N,31077
Arlington Blvd & S George Mason Dr,31078
Arlington Blvd & S George Mason Dr/NFATC,31078
Lee Hwy & N Cleveland St,31079
Lee Hwy & N Scott St,31080
Duke St & John Carlyle St,31081
Eisenhower Ave & Mill Race Ln,31082
Potomac Greens Dr & Slaters Ln,31083
Ballenger Ave & Dulaney St,31084
Mount Vernon Ave & E Nelson Ave,31085
Mount Vernon Ave & E Del Ray Ave,31086
Monroe Ave & Leslie Ave,31087
Mount Vernon Ave & Kennedy St,31088
Court House Metro / 15th & N Uhle St ,31089
Court House Metro / 15th St & N Uhle St,31089
Long Bridge Dr & 6th St S,31090
Long Bridge Park / Long Bridge Dr & 6th St S,31090
S Joyce & 16th St S,31091
Joyce St & 16th St S,31091
Lee Hwy & N Monroe St,31092
21st St & N Pierce St,31093
21st St N & N Pierce St,31093
Lee Hwy & N Kirkwood Rd,31094
Army Navy Dr & S Nash St,31095
Walter Reed Dr & 8th St S,31096
S Walter Reed Dr & 8th St S,31096
Saint Asaph St & Madison St,31097
Saint Asaph & Madison St,31097
King St Metro North / Cameron St,31098
Madison & N Henry St,31099
Madison St & N Henry St,31099
19th St & Pennsylvania Ave NW,31100
14th & V St NW,31101
14th & U St NW,31101
11th & Kenyon St NW,31102
16th & Harvard St NW,31103
Adams Mill & Columbia Rd NW,31104
14th & Harvard St NW,31105
Calvert & Biltmore St NW,31106
Lamont & Mt Pleasant NW,31107
4th & M St SW,31108
7th & T St NW,31109
20th St & Florida Ave NW,31110
10th & U St NW,31111
Harvard St & Adams Mill Rd NW,31112
Columbia Rd & Belmont St NW,31113
18th St & Wyoming Ave NW,31114
Columbia Rd & Georgia Ave NW,31115
California St & Florida Ave NW,31116
15th & Euclid St  NW,31117
3rd & Elm St NW,31118
14th & Belmont St NW,31119
10th & Florida Ave NW,31120
Calvert St & Woodley Pl NW,31121
16th & Irving St NW,31122
14th & Girard St NW,31123
14th & Irving St NW,31124
15th & W St NW,31125
11th & Girard St NW,31126
22nd & H St NW,31127
23rd & M St NW,31128
15th St & Pennsylvania Ave NW,31129
15th St & Pennsylvania Ave NW/Pershing Park,31129
7th & S St NW,31130
14th & Otis Pl NW,31131
Massachusetts Ave & Dupont Circle NW,31200
15th & P St NW,31201
14th & R St NW,31202
14th & Rhode Island Ave NW,31203
20th & E St NW,31204
21st & I St NW,31205
19th & E Street NW,31206
Georgia Ave and Fairmont St NW,31207
M St & New Jersey Ave SE,31208
1st & N St  SE,31209
Kennedy Center,31211
21st & M St NW,31212
17th & K St NW,31213
17th & Corcoran St NW,31214
Georgetown Harbor / 30th St NW,31215
14th St & New York Ave NW,31216
USDA / 12th & C St SW,31217
L'Enfant Plaza / 7th & C St SW,31218
10th St & Constitution Ave NW,31219
US Dept of State / Virginia Ave & 21st St NW,31220
18th & M St NW,31221
New York Ave & 15th St NW,31222
Convention Center / 7th & M St NW,31223
19th & L St NW,31224
18th & L St NW,31224
C & O Canal & Wisconsin Ave NW,31225
34th St & Wisconsin Ave NW,31226
13th St & New York Ave NW,31227
8th & H St NW,31228
New Hampshire Ave & T St NW,31229
Metro Center / 12th & G St NW,31230
14th & D St NW / Ronald Reagan Building,31231
7th & F St NW / National Portrait Gallery,31232
17th & K St NW / Farragut Square,31233
20th & O St NW / Dupont South,31234
19th St & Constitution Ave NW,31235
37th & O St NW / Georgetown University,31236
25th St & Pennsylvania Ave NW,31237
14th & G St NW,31238
Rhode Island & Connecticut Ave NW,31239
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240
Thomas Circle,31241
18th St & Pennsylvania Ave NW,31242
4th & C St SW,31243
4th & E St SW,31244
7th & R St NW / Shaw Library,31245
M St & Pennsylvania Ave NW,31246
Jefferson Dr & 14th St SW,31247
Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248
Jefferson Memorial,31249
20th & L St NW,31250
12th & L St NW,31251
21st St & Pennsylvania Ave NW,31252
19th & K St NW,31253
15th & K St NW,31254
24th & N St NW,31255
10th & E St NW,31256
22nd & I St NW / Foggy Bottom,31257
Lincoln Memorial,31258
20th St & Virginia Ave NW,31259
23rd & E St NW ,31260
21st St & Constitution Ave NW,31261
